地區,大廈名單,name,lat,lng
南區,石排灣邨碧月樓,石排灣邨2座碧月樓,22.248953,114.157267
南區,石排灣邨碧綠樓,石排灣邨7座碧綠樓,22.2486203,114.157823
南區,華富(二)邨華翠樓,華富(二)邨華翠樓,22.2538524,114.1361786
南區,華富1邨華光樓,華富(一)邨華光樓,22.2497782,114.1372701
南區,華富邨(二)華翠樓,華富邨華翠樓,22.254018,114.136384
南區,華富邨華泰樓,華富邨華泰樓,22.251745,114.136285
南區,華富邨華翠樓,華富邨華翠樓,22.254143,114.136462
南區,香港仔中心海龍閣,香港仔中心海龍閣,22.2481762,114.1538518
南區,香港瑞思酒店,香港瑞思酒店,22.2499239,114.1476247
南區,黃竹坑南朗山道29號,黃竹坑南朗山道29號,22.2438871,114.16616
大埔,塘面村,塘面村,22.451568,114.137453
大埔,大元邨泰樂樓,大元邨泰樂樓,22.4557911,114.1695273
大埔,大南樓,大南樓,22.453072,114.164742
大埔,大埔中心19座,大埔中心19座,22.4535214,114.1719292
大埔,大埔中心1座,大埔中心1座,22.4524695,114.1686031
大埔,大埔中心1期1座,大埔中心,22.4516729,114.1692843
大埔,大埔中心一期1座,大埔中心,22.4516729,114.1692843
大埔,大埔廣場宜德閣,大埔廣場宜德閣,22.4528498,114.1704804
大埔,大宏街1-3號 (非住宅),大埔工業邨大宏街1-3號,22.4585496,114.1815563
大埔,宏福苑宏盛閣,宏福苑宏盛閣,22.4468512,114.1762849
大埔,富亨邨亨昌樓,富亨邨3座亨昌樓,22.4570232,114.1711064
大埔,富善邨善美樓,富善邨善美樓,22.4548922,114.1757508
大埔,帝欣苑30座,帝欣苑30座,22.4537867,114.1556168
大埔,廣褔邨廣祐樓,廣福邨廣祐樓,22.4479733,114.1747058
大埔,新峰花園19座,新峰花園,22.4419365,114.1609344
大埔,新達廣場 6 座,新達廣場6座,22.4440501,114.1687841
大埔,新達廣場6座,新達廣場6座,22.4440501,114.1687841
大埔,汀角路下坑,汀角路,22.4599724,114.2009744
大埔,汀角路下坑村,下坑村公廁,22.462748,114.186001
大埔,汀角路第6約1211S.D.地段大南樓地下A、B、C、D及E舖及四樓A室,康和護老中心 - 大埔,22.453045,114.164791
大埔,海日灣海曦閣B2,海日灣 The Horizon,22.4302211,114.2074882
大埔,美心食品廠 (非住宅),美心食品廠,22.4597584,114.184645
大埔,翠樂街8號 (非住宅),富萊花園一期金棠閣,22.4536243,114.1646273
大埔,荔枝山村,荔枝山,22.438383,114.164849
大埔,西澳村,西澳村大榕樹停車場,22.4299614,114.2536115
大埔,運頭塘邨運亨樓,運頭塘邨運亨樓,22.441876,114.165302
大埔,運頭塘邨運來樓,運來樓,22.442696,114.1687461
大埔,運頭塘邨運臨樓,運頭塘邨2座運臨樓,22.44229,114.168221
大埔,龍尾村,龍尾村,22.47291,114.228474
屯門,V-city 八月花 (非住宅),八月花 (屯門) Jasmine (Tuen Mun),22.3961045,113.9739664
屯門,三聖邨豐漁樓,三聖邨豐漁樓,22.3812751,113.977948
屯門,仁愛街市 (非住宅),仁愛街市,22.3878836,113.9800723
屯門,倚嶺南庭,倚嶺南庭,22.412407,113.9837095
屯門,兆康苑兆基閣,兆康苑兆基閣,22.4139906,113.9773672
屯門,兆康苑兆昌閣,兆康苑兆昌閣,22.4128847,113.9782965
屯門,兆畦苑兆富閣,兆畦苑兆富閣,22.4051502,113.9665177
屯門,兆禧苑順禧閣,兆禧苑順禧閣,22.3739569,113.9672611
屯門,兆麟苑嘉麟閣,兆麟苑F座嘉麟閣,22.3838102,113.976949
屯門,兆麟苑瑞麟閣,兆麟苑E座瑞麟閣,22.3838393,113.9773207
屯門,卓爾居3座,卓爾居一期3座,22.401569,113.974446
屯門,友愛邨愛信樓,友愛邨愛信樓,22.3861398,113.9725123
屯門,友愛邨愛勇樓 (非住宅),愛勇樓,22.387698,113.974436
屯門,友愛邨愛明樓,友愛邨愛明樓,22.3890987,113.9732783
屯門,友愛邨愛義樓 (非住宅),友愛邨愛義樓,22.3860783,113.9738914
屯門,友愛邨愛義樓,友愛邨愛義樓,22.3860783,113.9738914
屯門,嘉悅半島2座,嘉悅半島2座,22.38229,113.9727208
屯門,大欖涌村,大欖涌村,22.367531,114.022131
屯門,大欖涌村101號,大欖涌村,22.367531,114.022131
屯門,大興邨興平樓,大興邨興平樓,22.4042331,113.9718147
屯門,大興邨興泰樓,大興邨興泰樓,22.4035088,113.9701755
屯門,富健花園7座,富健花園7座,22.3829378,113.9664841
屯門,富健花園9座,富健花園9座,22.3827045,113.9658904
屯門,富泰邨秀泰樓,富泰邨秀泰樓,22.4130908,113.9832449
屯門,寶田中轉房屋2座,寶田邨,22.4106153,113.9668924
屯門,寶田邨1座,寶田邨第1座,22.4088203,113.9666338
屯門,小欖村22號,帝濤灣,22.367288,114.0129376
屯門,屯門市中心 定食8 (非住宅),定食8,22.3938074,113.9752716
屯門,屯門市廣場 太平洋咖啡 (非住宅),Pacific Coffee,22.39295,113.976649
屯門,屯門市廣場 牛一 (非住宅),牛一(屯門分店),22.3924645,113.977522
屯門,屯門市廣場 稻成小館 (非住宅),稻成小館,22.3927314,113.9780447
屯門,屯門市廣場1期 名點屋 (非住宅),名點屋,22.3925705,113.9779682
屯門,屯門時代廣場 (非住宅),屯門時代廣場,22.3921606,113.9758675
屯門,屯門時代廣場 ‎ 板長壽司 (非住宅),板長壽司,22.3929828,113.9754366
屯門,山景邨景業樓,山景邨景業樓,22.3988941,113.9663318
屯門,山景邨景樂樓,山景邨,22.3981329,113.9662423
屯門,山景邨景美樓,山景邨景美樓,22.3999416,113.9668894
屯門,山景邨景華樓,山景邨景華樓,22.3964498,113.9668894
屯門,康恩園,康恩園,22.4086417,113.9693056
屯門,建生邨康生樓,建生邨康生樓,22.4059027,113.9707692
屯門,建生邨泰生樓,建生邨泰生樓,22.4059245,113.9714662
屯門,彩華花園D座,彩華花園D座,22.3859158,113.9806429
屯門,怡峰園5座,怡峰園5座,22.3912949,113.9804338
屯門,恒福花園第７座,恒福花園,22.3829423,113.9772405
屯門,悅湖山莊4座,悅湖山莊4座,22.3742152,113.9688177
屯門,慎成大廈,慎成大廈,22.3955363,113.9753692
屯門,新墟村,新墟村,22.400717,113.979567
屯門,新慶村,新慶村,22.418435,113.979804
屯門,景峰花園5座,景峰花園5座,22.4035044,113.9803641
屯門,欣田邨悅田樓,欣田邨悅田樓,22.4143038,113.9764062
屯門,泥圍,泥圍站,22.423836,113.9865365
屯門,海慧花園,海慧花園1座,22.3766577,113.9828384
屯門,海慧花園1座,海慧花園1座,22.3766577,113.9828384
屯門,海翠花園1座,海翠花園1座,22.3728692,113.9657045
屯門,海趣坊 大快活 (非住宅),大快活,22.3727246,113.9656699
屯門,湖景邨湖暉樓,湖景邨湖暉樓,22.3775031,113.9656581
屯門,澤豐花園澤國樓,澤豐花園1座澤國樓,22.4040581,113.9751601
屯門,田景邨田敦樓,田景邨田敦樓,22.4067362,113.9658671
屯門,田景邨田樂樓,田景邨田樂樓,22.4073182,113.9649378
屯門,福亨村,福亨村,22.417833,113.991432
屯門,翠濤居3座,翠濤居3座,22.3810422,113.9799924
